#{"t_start": 1624582655.764554, "env_id": null}
r,l,t
6.389411,10,334.73296
1.88764,6,335.290841
3.183543,8,335.992922
3.552252,8,336.758992
1.510929,5,337.184037
2.464483,8,337.873795
2.597996,7,338.518977
4.566497,10,339.286018
6.326581,13,340.363946
4.550734,9,341.141261
2.484088,8,341.792967
5.51825,12,342.782557
1.221814,4,343.207752
4.889005,9,344.024235
2.074048,6,344.54177
4.495633,11,345.418528
5.276511,12,346.393519
4.930476,9,347.143075
1.285669,5,347.625795
2.421304,6,348.161122
3.593144,9,348.892892
1.963452,7,349.493556
4.313896,10,350.35847
2.35898,8,351.014608
2.399542,5,351.489771
1.860178,7,352.106233
2.926044,9,352.857887
1.352073,4,353.224558
1.748182,7,353.804212
4.577979,9,354.552434
4.22551,8,355.308538
3.051025,9,356.090115
1.649949,4,356.474722
1.752535,6,356.969862
1.402595,5,357.447819
2.647428,6,358.014439
1.984253,6,358.539508
5.244461,10,359.390845
2.704517,7,359.997998
4.82364,10,360.844162
1.175032,3,361.141836
2.059957,7,361.759815
3.642675,10,362.589452
2.073111,7,363.1425
2.583094,8,363.80665
2.12812,6,364.341281
5.506818,12,365.285606
5.417083,10,366.080644
4.65627,9,366.8729
5.618846,11,367.756303
2.975488,7,368.339061
4.970694,12,369.357785
2.924496,9,370.155016
2.158114,6,370.690778
1.990155,5,371.1728
2.232245,7,371.712631
5.996243,12,372.740166
4.619943,9,373.496631
1.127995,3,374.645985
3.762034,10,375.46198
2.235034,7,376.056498
5.272822,11,377.008006
6.661196,12,378.006006
1.386238,5,378.495252
1.417751,5,378.99162
2.500571,7,379.578077
1.710249,7,380.211633
1.874808,7,380.804599
1.340415,5,381.269043
4.648332,9,382.022389
2.495659,8,382.72266
5.272712,13,383.774832
1.613378,6,384.321115
2.83441,7,384.940325
3.093753,8,385.614968
7.225145,18,387.107615
6.554163,17,388.471922
1.626311,5,388.956875
2.14883,7,389.591982
1.406955,4,389.988654
2.899431,8,390.658245
1.57447,6,391.178916
4.798129,9,391.938291
2.954308,9,392.664948
6.718208,12,393.676346
2.788695,8,394.341666
6.774811,12,395.322385
2.498021,7,395.923915
2.98505,11,396.823386
1.738222,5,397.328082
3.942798,8,397.979679
1.259177,4,398.371186
3.822444,10,399.207344
1.463084,4,399.62162
4.359929,10,400.528147
5.253276,12,401.540907
4.106924,9,402.290133
3.596533,9,403.041048
1.609568,6,403.578239
3.616916,9,404.304441
2.866242,7,404.888508
3.81478,8,405.562446
1.794556,7,406.173858
3.281749,9,406.963155
2.806837,8,407.587184
5.471668,11,408.468333
